iter	Passed	Remaining
0	1	122
1	2	120
2	3	114
3	4	107
4	5	104
5	6	106
6	7	105
7	9	105
8	10	105
9	11	106
10	12	105
11	14	105
12	15	104
13	16	103
14	18	103
15	19	102
16	21	102
17	22	102
18	23	102
19	25	101
20	26	100
21	28	100
22	29	99
23	31	99
24	32	98
25	34	98
26	36	97
27	37	96
28	39	95
29	40	94
30	42	93
31	43	92
32	45	91
33	46	90
34	48	89
35	49	88
36	51	87
37	52	86
38	54	84
39	55	83
40	57	82
41	57	79
42	59	78
43	61	78
44	62	76
45	64	75
46	66	74
47	67	73
48	69	72
49	70	70
50	72	69
51	73	68
52	75	67
53	77	65
54	78	64
55	79	62
56	81	61
57	82	60
58	84	58
59	86	57
60	87	56
61	89	54
62	90	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	100	45
69	101	43
70	103	42
71	105	40
72	106	39
73	108	37
74	109	36
75	110	35
76	112	33
77	114	32
78	115	30
79	117	29
80	119	27
81	120	26
82	122	25
83	123	23
84	125	22
85	126	20
86	128	19
87	129	17
88	131	16
89	132	14
90	134	13
91	136	11
92	137	10
93	139	8
94	141	7
95	142	5
96	144	4
97	145	2
98	147	1
99	149	0
