iter	Passed	Remaining
0	253	252776
1	255	127248
2	256	85378
3	258	64402
4	260	51791
5	261	43396
6	263	37445
7	265	32974
8	267	29504
9	269	26697
10	271	24377
11	272	22453
12	274	20842
13	276	19468
14	279	18358
15	283	17422
16	285	16486
17	288	15744
18	290	14993
19	292	14324
20	295	13779
21	297	13233
22	299	12723
23	301	12271
24	303	11846
25	305	11455
26	309	11137
27	311	10801
28	313	10486
29	315	10191
30	317	9911
31	319	9650
32	321	9407
33	323	9182
34	325	8969
35	327	8762
36	329	8574
37	331	8388
38	333	8210
39	335	8041
40	337	7891
41	339	7744
42	341	7605
43	343	7466
44	345	7337
45	347	7210
46	349	7089
47	351	6975
48	353	6869
49	356	6768
50	358	6662
51	359	6560
52	361	6465
53	364	6379
54	366	6295
55	368	6217
56	371	6138
57	373	6059
58	375	5986
59	377	5916
60	379	5843
61	381	5776
62	383	5710
63	385	5643
64	387	5578
65	389	5518
66	392	5459
67	394	5402
68	396	5349
69	398	5299
70	400	5245
71	403	5197
72	405	5146
73	407	5097
74	409	5048
75	412	5016
76	414	4968
77	416	4924
78	418	4876
79	420	4834
80	422	4795
81	426	4774
82	427	4725
83	430	4692
84	432	4659
85	435	4625
86	437	4592
87	444	4608
88	448	4592
89	451	4563
90	454	4537
91	456	4508
92	459	4484
93	462	4453
94	464	4422
95	466	4392
96	468	4362
97	470	4334
98	473	4305
99	475	4278
100	477	4251
101	479	4225
102	482	4202
103	485	4181
104	488	4160
105	490	4135
106	492	4112
107	495	4088
108	497	4064
109	499	4041
110	501	4018
111	503	3995
112	506	3973
113	508	3950
114	510	3930
115	512	3909
116	514	3885
117	517	3865
118	519	3844
119	521	3824
120	523	3806
121	525	3783
122	529	3778
123	532	3759
124	534	3740
125	536	3718
126	537	3694
127	539	3674
128	541	3654
129	543	3640
130	545	3621
131	547	3603
132	549	3584
133	552	3568
134	554	3550
135	557	3540
136	559	3522
137	560	3504
138	562	3486
139	564	3469
140	566	3451
141	567	3430
142	569	3413
143	571	3400
144	574	3385
145	576	3370
146	578	3354
147	580	3340
148	582	3324
149	583	3308
150	586	3298
151	588	3283
152	590	3269
153	592	3255
154	594	3240
155	596	3227
156	598	3213
157	601	3207
158	604	3194
159	605	3181
160	607	3165
161	609	3152
162	611	3139
163	613	3126
164	616	3120
165	618	3109
166	621	3097
167	622	3085
168	624	3072
169	627	3062
170	630	3058
171	632	3047
172	635	3037
173	637	3025
174	639	3015
175	641	3004
176	646	3004
177	648	2993
178	650	2982
179	655	2985
180	659	2984
181	661	2974
182	664	2966
183	667	2961
184	670	2952
185	672	2943
186	675	2936
187	677	2926
188	680	2918
189	682	2908
190	684	2898
191	686	2889
192	688	2879
193	690	2870
194	693	2861
195	695	2853
196	697	2844
197	700	2836
198	702	2828
199	705	2820
200	707	2812
201	709	2804
202	712	2796
203	714	2788
204	717	2780
205	719	2773
206	721	2764
207	724	2757
208	726	2750
209	728	2742
210	731	2734
211	734	2729
212	736	2722
213	738	2713
214	741	2706
215	743	2698
216	746	2692
217	748	2684
218	750	2677
219	753	2670
220	756	2665
221	760	2663
222	763	2659
223	765	2652
224	768	2645
225	771	2641
226	774	2636
227	776	2629
228	779	2624
229	783	2622
230	787	2621
231	790	2618
232	793	2613
233	796	2606
234	799	2601
235	801	2594
236	803	2588
237	806	2582
238	809	2576
239	812	2572
240	815	2567
241	817	2561
242	820	2555
243	822	2549
244	825	2544
245	827	2537
246	830	2531
247	832	2525
248	835	2520
249	838	2515
250	840	2509
251	843	2502
252	845	2497
253	848	2492
254	851	2486
255	853	2480
256	856	2477
257	859	2472
258	862	2467
259	865	2462
260	867	2456
261	871	2455
262	874	2450
263	876	2444
264	879	2438
265	881	2432
266	883	2426
267	887	2423
268	890	2420
269	893	2415
270	896	2410
271	898	2405
272	902	2403
273	905	2400
274	909	2397
275	911	2392
276	914	2387
277	918	2384
278	920	2378
279	923	2375
280	926	2371
281	929	2366
282	931	2360
283	934	2355
284	936	2349
285	939	2344
286	941	2339
287	944	2335
288	947	2331
289	950	2326
290	953	2323
291	956	2318
292	958	2313
293	962	2310
294	966	2310
295	970	2307
296	973	2304
297	976	2299
298	979	2295
299	981	2290
300	984	2285
301	986	2280
302	989	2275
303	991	2270
304	994	2265
305	996	2260
306	999	2255
307	1003	2253
308	1007	2253
309	1010	2249
310	1014	2247
311	1017	2243
312	1021	2241
313	1027	2243
314	1029	2239
315	1032	2235
316	1035	2231
317	1038	2227
318	1041	2223
319	1044	2219
320	1047	2214
321	1050	2211
322	1052	2206
323	1057	2205
324	1060	2201
325	1062	2197
326	1065	2193
327	1068	2189
328	1071	2185
329	1074	2181
330	1077	2176
331	1079	2172
332	1082	2168
333	1086	2166
334	1089	2163
335	1092	2159
336	1097	2158
337	1100	2155
338	1103	2151
339	1107	2148
340	1110	2146
341	1113	2143
342	1116	2139
343	1119	2135
344	1122	2131
345	1125	2127
346	1129	2124
347	1132	2121
348	1136	2119
349	1139	2116
350	1142	2113
351	1145	2109
352	1148	2105
353	1151	2100
354	1153	2096
355	1156	2092
356	1162	2093
357	1165	2090
358	1168	2086
359	1171	2083
360	1174	2079
361	1178	2076
362	1181	2072
363	1183	2068
364	1186	2064
365	1189	2060
366	1191	2055
367	1194	2050
368	1196	2046
369	1198	2041
370	1201	2036
371	1204	2032
372	1206	2028
373	1209	2023
374	1212	2020
375	1214	2015
376	1217	2011
377	1219	2006
378	1221	2002
379	1224	1997
380	1227	1993
381	1229	1989
382	1232	1986
383	1235	1981
384	1238	1978
385	1242	1975
386	1244	1970
387	1246	1966
388	1250	1963
389	1255	1962
390	1258	1960
391	1262	1958
392	1265	1954
393	1268	1950
394	1270	1946
395	1273	1942
396	1275	1937
397	1278	1933
398	1280	1929
399	1283	1925
400	1286	1921
401	1288	1917
402	1291	1913
403	1293	1908
404	1296	1904
405	1299	1901
406	1302	1897
407	1307	1896
408	1310	1893
409	1313	1890
410	1317	1888
411	1321	1886
412	1325	1883
413	1328	1880
414	1331	1877
415	1341	1883
416	1346	1882
417	1354	1885
418	1365	1893
419	1373	1896
420	1378	1895
421	1385	1897
422	1388	1894
423	1391	1891
424	1395	1888
425	1402	1889
426	1405	1885
427	1408	1883
428	1412	1879
429	1414	1875
430	1418	1872
431	1423	1871
432	1426	1867
433	1429	1863
434	1431	1859
435	1434	1856
436	1437	1851
437	1440	1847
438	1442	1843
439	1447	1842
440	1452	1840
441	1456	1838
442	1463	1839
443	1467	1837
444	1470	1834
445	1474	1831
446	1477	1827
447	1480	1823
448	1483	1820
449	1487	1817
450	1492	1816
451	1496	1813
452	1498	1809
453	1501	1805
454	1504	1801
455	1508	1799
456	1513	1798
457	1517	1795
458	1521	1793
459	1525	1790
460	1528	1786
461	1531	1782
462	1534	1779
463	1538	1776
464	1543	1776
465	1546	1772
466	1548	1767
467	1551	1763
468	1554	1760
469	1557	1756
470	1559	1751
471	1561	1747
472	1564	1742
473	1566	1738
474	1569	1734
475	1572	1730
476	1574	1726
477	1576	1721
478	1578	1717
479	1581	1713
480	1584	1709
481	1586	1705
482	1589	1701
483	1591	1696
484	1593	1692
485	1597	1689
486	1600	1685
487	1602	1681
488	1605	1677
489	1608	1674
490	1611	1670
491	1614	1666
492	1616	1662
493	1619	1658
494	1621	1654
495	1623	1650
496	1628	1647
497	1631	1644
498	1634	1640
499	1636	1636
500	1639	1632
501	1642	1629
502	1645	1625
503	1647	1621
504	1649	1616
505	1651	1612
506	1655	1609
507	1657	1605
508	1660	1601
509	1662	1597
510	1665	1593
511	1667	1589
512	1671	1586
513	1674	1583
514	1676	1579
515	1679	1575
516	1682	1571
517	1685	1568
518	1689	1566
519	1692	1561
520	1694	1557
521	1697	1553
522	1700	1551
523	1704	1548
524	1707	1544
525	1709	1540
526	1711	1536
527	1715	1533
528	1719	1530
529	1722	1527
530	1726	1524
531	1728	1520
532	1732	1518
533	1741	1519
534	1745	1517
535	1749	1514
536	1752	1510
537	1755	1507
538	1762	1507
539	1766	1504
540	1769	1500
541	1773	1498
542	1776	1495
543	1781	1493
544	1784	1489
545	1789	1488
546	1793	1485
547	1796	1481
548	1799	1478
549	1805	1476
550	1808	1473
551	1811	1470
552	1827	1476
553	1830	1473
554	1837	1473
555	1855	1481
556	1859	1478
557	1862	1475
558	1874	1479
559	1877	1475
560	1889	1478
561	1893	1475
562	1901	1476
563	1914	1480
564	1918	1476
565	1924	1475
566	1938	1480
567	1951	1484
568	1960	1484
569	1967	1484
570	1972	1481
571	1978	1480
572	1982	1477
573	1986	1474
574	1994	1474
575	1997	1470
576	2000	1466
577	2002	1462
578	2006	1458
579	2010	1455
580	2013	1452
581	2016	1448
582	2021	1445
583	2025	1442
584	2031	1441
585	2036	1438
586	2041	1436
587	2044	1432
588	2049	1429
589	2052	1426
590	2055	1422
591	2059	1419
592	2064	1416
593	2066	1412
594	2069	1408
595	2072	1405
596	2076	1401
597	2079	1397
598	2082	1393
599	2084	1389
600	2086	1385
601	2090	1382
602	2093	1378
603	2096	1374
604	2098	1370
605	2101	1366
606	2106	1363
607	2108	1359
608	2110	1355
609	2113	1351
610	2115	1346
611	2118	1343
612	2121	1339
613	2124	1335
614	2126	1331
615	2128	1327
616	2132	1323
617	2135	1320
618	2138	1316
619	2140	1312
